MarketNo,MarketName,MarketType,YearMonth,ClosedDate
F109,台北,魚,11312,2、9、16、23、26、30
F916,東港,魚,11312,8、9、15、16、22、23、29、31
F270,蘇澳,魚,11312,8、15、22、29
F400,台中,魚,11312,2、9、16、23、30
F513,埔心,魚,11312,2、9、16、23、30
F800,高雄,魚,11312,2、9、16、23、30
F936,新港,魚,11312,8、15、22、29
F241,三重,魚,11312,2、9、16、23、26、30
F261,頭城,魚,11312,8、15、22、29
F730,新營,魚,11312,2、9、16、23、30
F820,岡山,魚,11312,2、9、16、23、30
F200,基隆,魚,11312,7、8、14、15、21、22、28、29
F709,興達港,魚,11312,2、16
F722,佳里,魚,11312,2、9、16、23、30
F500,彰化,魚,11312,2、9、16、23、30
F600,嘉義,魚,11312,2、9、16、23、30
F630,斗南,魚,11312,2、9、16、23、30
F300,新竹,魚,11312,2、9、16、23、30
F360,苗栗,魚,11312,2、5、9、12、16、19、23、26、30
F950,花蓮,魚,11312,7、8、14、15、21、22、28、29
F330,桃園,魚,11312,2、9、16、23、26、30
F708,台南,魚,11312,2、9、16、17、23、30
F261,頭城,魚,11311,3、10、17、24
F730,新營,魚,11311,4、11、18、25
F109,台北,魚,11311,4、11、18、21、25
F630,斗南,魚,11311,4、11、18、25
F936,新港,魚,11311,3、10、17、24
F950,花蓮,魚,11311,2、3、9、10、16、17、23、24、30
F200,基隆,魚,11311,2、3、9、10、16、17、23、24、30
F330,桃園,魚,11311,4、11、18、21、25
F360,苗栗,魚,11311,4、7、11、14、18、21、25、28
F500,彰化,魚,11311,4、11、18、25
F513,埔心,魚,11311,4、11、18、25
F709,興達港,魚,11311,2、16
F722,佳里,魚,11311,4、11、18、25
F241,三重,魚,11311,4、11、18、21、25
F300,新竹,魚,11311,4、11、18、25
F400,台中,魚,11311,4、11、18、25
F820,岡山,魚,11311,4、11、18、25
F916,東港,魚,11311,3、4、10、11、17、18、24、25
F600,嘉義,魚,11311,4、11、18、25
F270,蘇澳,魚,11311,3、10、17、24
F708,台南,魚,11311,4、11、18、25
F800,高雄,魚,11311,4、11、18、25
F261,頭城,魚,11310,6、13、20、27
F300,新竹,魚,11310,7、14、21、28
F600,嘉義,魚,11310,7、12、13、14、21、28
F820,岡山,魚,11310,7、14、21、28
F109,台北,魚,11310,7、14、21、24、28
F722,佳里,魚,11310,7、11、14、21、28
F708,台南,魚,11310,7、14、21、28
F800,高雄,魚,11310,7、14、21、28
F936,新港,魚,11310,6、10、13、20、27
F950,花蓮,魚,11310,5、6、10、12、13、19、20、26、27
F400,台中,魚,11310,7、11、14、21、28
F500,彰化,魚,11310,7、11、14、21、28
F513,埔心,魚,11310,7、11、14、21、28
F630,斗南,魚,11310,3、7、11、14、21、28
F880,澎湖,魚,11310,2、3、31
F916,東港,魚,11310,6、7、13、14、20、21、27、28
F241,三重,魚,11310,7、14、21、24、28
F360,苗栗,魚,11310,3、7、10、14、17、21、24、28、31
F730,新營,魚,11310,7、12、13、14、21、28
F200,基隆,魚,11310,5、6、10、12、13、19、20、26、27
F270,蘇澳,魚,11310,2、3、6、13、20、27、31
F330,桃園,魚,11310,7、14、21、24、28
F709,興達港,魚,11310,2、3、4、18、31
F400,台中,魚,11309,2、9、18、19、23、30
F600,嘉義,魚,11309,2、9、17、18、19、23、30
F261,頭城,魚,11309,8、17、22、29
F330,桃園,魚,11309,2、9、18、19、23、30
F500,彰化,魚,11309,2、9、18、19、23、30
F360,苗栗,魚,11309,2、5、9、12、18、19、23、26、30
F916,東港,魚,11309,8、9、15、16、17、22、23、29、30
F950,花蓮,魚,11309,6、7、8、14、15、17、21、22、28、29
F513,埔心,魚,11309,2、9、18、19、23、30
F730,新營,魚,11309,2、9、17、18、19、23、30
F800,高雄,魚,11309,2、9、18、23、30
F200,基隆,魚,11309,7、8、14、15、17、21、22、28、29
F241,三重,魚,11309,2、9、18、19、20、23、30
F270,蘇澳,魚,11309,8、11、12、13、15、17、18、22、29
F709,興達港,魚,11309,4、18
F300,新竹,魚,11309,2、9、18、19、23、30
F708,台南,魚,11309,2、9、18、19、23、30
F936,新港,魚,11309,8、15、17、18、22、29
F109,台北,魚,11309,2、9、18、19、23、30
F630,斗南,魚,11309,2、9、18、19、23、30
F722,佳里,魚,11309,2、9、18、19、23、30
F820,岡山,魚,11309,2、9、16、17、18、19、23、30
F600,嘉義,魚,11308,5、12、19、20、21、26
F800,高雄,魚,11308,5、12、19、26
F722,佳里,魚,11308,5、12、19、20、21、26
F820,岡山,魚,11308,5、12、19、20、26
F936,新港,魚,11308,4、11、18、19、25
F400,台中,魚,11308,5、12、19、20、21、26
F630,斗南,魚,11308,5、12、19、20、21、22、23、26
F730,新營,魚,11308,5、12、19、20、21、26
F241,三重,魚,11308,5、12、19、20、26
F270,蘇澳,魚,11308,4、11、18、19、25
F330,桃園,魚,11308,5、12、19、20、26
F109,台北,魚,11308,5、12、19、20、26
F360,苗栗,魚,11308,5、12、19、20、21、22、23、24、26
F513,埔心,魚,11308,5、12、19、20、21、22、23、26
F709,興達港,魚,11308,5、19
F950,花蓮,魚,11308,3、4、10、11、17、18、24、25、31
F200,基隆,魚,11308,3、4、10、11、17、18、24、25、31
F916,東港,魚,11308,4、11、12、18、19、25、26
F261,頭城,魚,11308,4、11、18、25
F300,新竹,魚,11308,5、12、19、20、21、26
F500,彰化,魚,11308,5、12、19、20、21、22、23、26
F826,梓官,魚,11308,19
F708,台南,魚,11308,5、12、19、20、26
F360,苗栗,魚,11307,4、8、11、15、18、22、25、29
F600,嘉義,魚,11307,8、15、22、26、29
F109,台北,魚,11307,8、11、15、22、25、29
F400,台中,魚,11307,8、15、22、29
F800,高雄,魚,11307,8、15、22、29
F330,桃園,魚,11307,8、15、22、25、29
F500,彰化,魚,11307,8、15、22、29
F241,三重,魚,11307,8、11、15、22、25、29
F270,蘇澳,魚,11307,7、14、21、28
F709,興達港,魚,11307,7、21、24、25、26
F730,新營,魚,11307,8、15、22、29
F880,澎湖,魚,11307,24、25
F950,花蓮,魚,11307,6、7、13、14、20、21、27、28
F200,基隆,魚,11307,6、7、13、14、20、21、27、28
F300,新竹,魚,11307,8、15、22、29
F513,埔心,魚,11307,8、15、22、29
