地區,年份,種植面積 (公頃),緯度,經度
苑裡鎮,1950,150,24.406,120.653
大甲區,1950,100,24.35,120.621
麥寮鄉,1950,20,23.753,120.251
鹿港鎮,1950,30,24.051,120.435
壯圍鄉,1950,40,24.74,121.768
臺東縣,1950,0,22.7583,121.1445
花蓮縣,1950,0,23.7569,121.3542
苗栗縣,1950,0,24.5602,120.8218
雲林縣,1950,0,23.7074,120.4313
高雄市,1950,0,22.6273,120.3014
南投縣,1950,0,23.9132,120.6846
嘉義縣,1950,0,23.4518,120.2555
宜蘭縣,1950,0,24.7021,121.7195
屏東縣,1950,0,22.5518,120.5487
新北市,1950,0,25.013,121.4656
桃園縣,1950,0,24.9935,121.3019
臺中市,1950,0,24.1477,120.6736
臺北市,1950,0,25.033,121.5654
臺南市,1950,0,22.9999,120.227
金門縣,1950,0,24.4368,118.3186
連江縣,1950,0,26.1604,119.9585
澎湖縣,1950,0,23.5712,119.5791
嘉義市,1950,0,23.4801,120.4491
基隆市,1950,0,25.1276,121.7392
彰化縣,1950,0,24.0685,120.5576
新竹市,1950,0,24.8039,120.9647
新竹縣,1950,0,24.7033,121.1252
